date,New South Wales_Northern NSW,New South Wales_Western Sydney,South Australia_Eyre and Far North
2036-03-23,4.9745526,5.0926466,4.9546943
2036-03-24,5.4074283,5.502716,5.3795366
2036-03-25,5.0436754,5.159889,5.0127454
2036-03-26,6.568378,6.2896075,6.5090437
2036-03-27,5.214315,5.3476396,5.1898217
2036-03-28,5.0863805,5.2675195,5.0736485
2036-03-29,4.58325,4.7858906,4.5866227
2036-03-30,4.9915643,5.1736164,4.9943194
2036-03-31,4.388329,4.579183,4.4135714
2036-04-01,4.4623075,4.6398892,4.4579782
2036-04-02,4.1823573,4.259385,4.1444707
2036-04-03,5.771503,5.655439,5.7247305
2036-04-04,8.243043,8.2763405,8.255142
2036-04-05,5.714236,6.1325064,5.771402
2036-04-06,4.390324,4.5495615,4.3848467
2036-04-07,4.74277,4.922435,4.717243
2036-04-08,5.3476505,5.406319,5.3370934
2036-04-09,5.494929,5.662741,5.4773316
2036-04-10,5.788784,5.756783,5.738697
2036-04-11,4.7612023,4.921338,4.7647
2036-04-12,5.4218044,5.6788015,5.4413137
2036-04-13,5.6280446,5.902165,5.6331244
2036-04-14,6.213233,6.357221,6.170173
2036-04-15,6.277019,6.3681936,6.227794
2036-04-16,5.0553665,5.088439,5.0280285
2036-04-17,4.5917807,4.5541368,4.572631
2036-04-18,4.039076,4.185207,4.067845
2036-04-19,4.087235,4.2303205,4.0736313
2036-04-20,4.030183,4.150879,4.0174155
2036-04-21,4.347358,4.5572815,4.322991
2036-04-22,4.3901153,4.5800304,4.357279
2036-04-23,5.5674195,5.5054283,5.516557
2036-04-24,6.5398784,6.4501762,6.482853
2036-04-25,5.2751074,5.233262,5.2440004
2036-04-26,4.596468,4.664542,4.5710006
2036-04-27,5.2722793,5.3523755,5.280307
2036-04-28,5.3152356,5.354193,5.287635
2036-04-29,5.0499115,5.2279787,5.0811496
2036-04-30,4.956507,5.2842937,5.0186605
2036-05-01,4.935185,5.223363,4.951523
2036-05-02,4.141334,4.466242,4.1594653
2036-05-03,4.516226,4.787925,4.5230546
2036-05-04,4.235477,4.415201,4.23684
2036-05-05,4.1250486,4.212266,4.0928426
2036-05-06,3.6687927,3.7111893,3.654087
2036-05-07,2.994865,3.2099457,2.9907746
2036-05-08,3.3891022,3.5763352,3.397896
2036-05-09,3.7408822,3.8231516,3.740693
2036-05-10,4.7923927,5.0926614,4.860653
2036-05-11,5.711226,5.9042597,5.7636437
2036-05-12,4.183715,4.3547363,4.220694
2036-05-13,4.6136465,4.6744757,4.632205
2036-05-14,4.6933126,4.9223104,4.709734
2036-05-15,3.8039725,4.0567446,3.8300905
2036-05-16,4.668634,4.7356596,4.630109
2036-05-17,5.325579,5.5201435,5.3098993
2036-05-18,6.7297854,6.877422,6.704684
2036-05-19,6.3732796,6.3851895,6.3363066
2036-05-20,3.5058606,3.6549568,3.5069642
2036-05-21,3.2889216,3.3589203,3.2572827
2036-05-22,5.5185556,5.6070137,5.497646
2036-05-23,4.8033724,4.973583,4.8299384
2036-05-24,4.219083,4.447743,4.2442107
2036-05-25,3.7042942,4.052555,3.7307832
2036-05-26,3.9069817,4.005457,3.9061952
2036-05-27,3.1087823,3.130683,3.0933197
2036-05-28,4.8777504,4.9669986,4.891863
2036-05-29,4.1072598,4.4419336,4.161991
2036-05-30,3.9795158,4.3711658,4.02478
2036-05-31,3.8120027,4.177638,3.8451958
2036-06-01,3.5933938,3.8576248,3.6288729
2036-06-02,3.8710537,4.046733,3.90457
2036-06-03,3.667233,3.783825,3.688599
2036-06-04,3.7752757,3.9836853,3.7951121
2036-06-05,3.7939959,3.8720777,3.7823148
2036-06-06,3.8141193,3.9055257,3.7932494
2036-06-07,5.941864,5.8225126,5.9095325
2036-06-08,4.650449,4.6496,4.629137
2036-06-09,3.906194,3.98143,3.9259026
2036-06-10,3.0955975,3.182081,3.1035602
2036-06-11,3.3737912,3.39031,3.3628187
2036-06-12,4.034927,4.122701,4.0400805
2036-06-13,4.9071417,5.0499616,4.9269094
2036-06-14,4.8675146,5.0728297,4.8981514
2036-06-15,4.397876,4.643332,4.4455547
2036-06-16,5.5153794,5.7013044,5.54647
2036-06-17,6.459965,6.460795,6.4002047
2036-06-18,6.720189,6.7906356,6.670705
2036-06-19,5.900609,5.722489,5.8749104
2036-06-20,4.9969115,5.0785766,4.97205
2036-06-21,5.308128,5.3010945,5.275252
2036-06-22,5.038044,4.9596214,5.027276
2036-06-23,4.301771,4.396578,4.315908
2036-06-24,4.6476326,4.806709,4.6545115
2036-06-25,5.077083,5.1432934,5.0517945
2036-06-26,4.515508,4.5083003,4.4866734
2036-06-27,4.041406,4.1502047,4.022924
2036-06-28,4.364707,4.5412264,4.3564386
2036-06-29,4.364162,4.5149684,4.353995
2036-06-30,4.3323393,4.45643,4.3083987
2036-07-01,5.636962,5.780345,5.6253147
2036-07-02,5.080653,5.1062746,5.073585
2036-07-03,6.368929,6.3498015,6.3321757
2036-07-04,6.220072,6.3164773,6.2035837
2036-07-05,5.398873,5.424657,5.36406
2036-07-06,4.4758873,4.6351485,4.4610524
2036-07-07,8.430746,8.534661,8.410337
2036-07-08,9.483391,9.243538,9.451286
2036-07-09,6.7221475,6.6285615,6.7264776
2036-07-10,4.4034796,4.351184,4.394572
2036-07-11,3.722335,3.8825033,3.731921
2036-07-12,4.3840284,4.7466116,4.395073
2036-07-13,4.843308,5.048096,4.816436
2036-07-14,5.2356176,5.3413677,5.189306
2036-07-15,6.196188,6.3407073,6.179957
2036-07-16,6.773515,6.8772054,6.7680674
2036-07-17,5.66302,5.684196,5.6498404
2036-07-18,3.450699,3.574465,3.4775062
2036-07-19,4.787496,4.93668,4.812266
